node_id:ID,label,doc_id,start_page:int,end_page:int,display_name,json_properties
alg::NIST.FIPS.203::19,Algorithm,NIST.FIPS.203,44,44,Algorithm 19,"{""algorithm_label"": ""Algorithm 19"", ""algorithm_name"": ""ML-KEM.KeyGen"", ""algorithm_number"": ""19"", ""raw_header"": ""Algorithm 19 ML-KEM.KeyGen ()"", ""section_id"": ""section::NIST.FIPS.203::7. The ML-KEM Key-Encapsulation Mechanism > 7.1 ML-KEM Key Generation > Algorithm 19 ML-KEM . KeyGen ()""}"
alg::NIST.FIPS.203::2,Algorithm,NIST.FIPS.203,28,28,Algorithm 2,"{""algorithm_label"": ""Algorithm 2"", ""algorithm_name"": ""SHAKE128example"", ""algorithm_number"": ""2"", ""raw_header"": ""Algorithm 2 SHAKE128example ( str 1 , …, str 𝑚,𝑏 1 , …,𝑏 ℓ )"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.1 Cryptographic Functions""}"
alg::NIST.FIPS.203::20,Algorithm,NIST.FIPS.203,46,46,Algorithm 20,"{""algorithm_label"": ""Algorithm 20"", ""algorithm_name"": ""ML-KEM.Encaps"", ""algorithm_number"": ""20"", ""raw_header"": ""Algorithm 20 ML-KEM.Encaps ( ek )"", ""section_id"": ""section::NIST.FIPS.203::7. The ML-KEM Key-Encapsulation Mechanism > 7.2 ML-KEM Encapsulation > Algorithm 20 ML-KEM . Encaps ( ek )""}"
alg::NIST.FIPS.203::21,Algorithm,NIST.FIPS.203,47,47,Algorithm 21,"{""algorithm_label"": ""Algorithm 21"", ""algorithm_name"": ""ML-KEM.Decaps"", ""algorithm_number"": ""21"", ""raw_header"": ""Algorithm 21 ML-KEM.Decaps ( dk , 𝑐)"", ""section_id"": ""section::NIST.FIPS.203::7. The ML-KEM Key-Encapsulation Mechanism > 7.3 ML-KEM Decapsulation > Algorithm 21 ML-KEM . Decaps ( dk , 𝑐)""}"
alg::NIST.FIPS.203::3,Algorithm,NIST.FIPS.203,29,29,Algorithm 3,"{""algorithm_label"": ""Algorithm 3"", ""algorithm_name"": ""BitsToBytes"", ""algorithm_number"": ""3"", ""raw_header"": ""Algorithm 3 BitsToBytes (𝑏)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.1 Conversion and Compression Algorithms > Algorithm 3 BitsToBytes (𝑏)""}"
alg::NIST.FIPS.203::4,Algorithm,NIST.FIPS.203,29,29,Algorithm 4,"{""algorithm_label"": ""Algorithm 4"", ""algorithm_name"": ""BytesToBits"", ""algorithm_number"": ""4"", ""raw_header"": ""Algorithm 4 BytesToBits (𝐵)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.1 Conversion and Compression Algorithms > Algorithm 4 BytesToBits (𝐵)""}"
alg::NIST.FIPS.203::5,Algorithm,NIST.FIPS.203,31,31,Algorithm 5,"{""algorithm_label"": ""Algorithm 5"", ""algorithm_name"": ""ByteEncode"", ""algorithm_number"": ""5"", ""raw_header"": ""Algorithm 5 ByteEncode (𝐹 ) 𝑑"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.1 Conversion and Compression Algorithms > Algorithm 5 ByteEncode (𝐹 ) 𝑑""}"
alg::NIST.FIPS.203::6,Algorithm,NIST.FIPS.203,31,31,Algorithm 6,"{""algorithm_label"": ""Algorithm 6"", ""algorithm_name"": ""ByteDecode"", ""algorithm_number"": ""6"", ""raw_header"": ""Algorithm 6 ByteDecode (𝐵) 𝑑"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.1 Conversion and Compression Algorithms > Algorithm 6 ByteDecode (𝐵) 𝑑""}"
alg::NIST.FIPS.203::7,Algorithm,NIST.FIPS.203,32,32,Algorithm 7,"{""algorithm_label"": ""Algorithm 7"", ""algorithm_name"": ""SampleNTT"", ""algorithm_number"": ""7"", ""raw_header"": ""Algorithm 7 SampleNTT (𝐵)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.2 Sampling Algorithms > Algorithm 7 SampleNTT (𝐵)""}"
alg::NIST.FIPS.203::8,Algorithm,NIST.FIPS.203,32,32,Algorithm 8,"{""algorithm_label"": ""Algorithm 8"", ""algorithm_name"": ""SamplePolyCBD"", ""algorithm_number"": ""8"", ""raw_header"": ""Algorithm 8 SamplePolyCBD (𝐵) 𝜂"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.2 General Algorithms > 4.2.2 Sampling Algorithms > Algorithm 8 SamplePolyCBD (𝐵) 𝜂""}"
alg::NIST.FIPS.203::9,Algorithm,NIST.FIPS.203,35,35,Algorithm 9,"{""algorithm_label"": ""Algorithm 9"", ""algorithm_name"": ""NTT"", ""algorithm_number"": ""9"", ""raw_header"": ""Algorithm 9 NTT (𝑓)"", ""section_id"": ""section::NIST.FIPS.203::4. Auxiliary Algorithms > 4.3 The Number-Theoretic Transform > Algorithm 9 NTT (𝑓)""}"
alg::NIST.FIPS.204::1,Algorithm,NIST.FIPS.204,22,22,Algorithm 1,"{""algorithm_label"": ""Algorithm 1"", ""algorithm_name"": null, ""algorithm_number"": ""1"", ""raw_header"": ""Algorithm 1, implementing key generation for ML-DSA, uses an RBG to generate the 256-bit random seed 𝜉 . The seed 𝜉 shall be a fresh (i.e., not previously used) random value generated using an approved RBG, as prescribed in SP 800-90A, SP 800-90B, and SP 800-90C [19, 20, 21]. Moreover, the RBG used shall have a security strength of at least 192 bits for ML-DSA-65 and 256 bits for ML-DSA-87.For ML-DSA-44, the RBG should have a security strength of at least 192 bits and shall have a security strength of at least 128 bits. If an approved RBG with at least 128 bits of security but less than 192 bits of security is used, then the claimed security strength of ML-DSA-44 is reduced from category 2 to category 1."", ""section_id"": ""section::NIST.FIPS.204::3. Overview of the ML-DSA Signature Scheme > 3.6 Additional Requirements""}"
alg::NIST.FIPS.204::10,Algorithm,NIST.FIPS.204,38,38,Algorithm 10,"{""algorithm_label"": ""Algorithm 10"", ""algorithm_name"": ""BitsToInteger"", ""algorithm_number"": ""10"", ""raw_header"": ""Algorithm 10 BitsToInteger (𝑦, 𝛼)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 10 BitsToInteger (𝑦, 𝛼)""}"
alg::NIST.FIPS.204::11,Algorithm,NIST.FIPS.204,38,38,Algorithm 11,"{""algorithm_label"": ""Algorithm 11"", ""algorithm_name"": ""IntegerToBytes"", ""algorithm_number"": ""11"", ""raw_header"": ""Algorithm 11 IntegerToBytes (𝑥, 𝛼)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 11 IntegerToBytes (𝑥, 𝛼)""}"
alg::NIST.FIPS.204::12,Algorithm,NIST.FIPS.204,39,39,Algorithm 12,"{""algorithm_label"": ""Algorithm 12"", ""algorithm_name"": ""BitsToBytes"", ""algorithm_number"": ""12"", ""raw_header"": ""Algorithm 12 BitsToBytes (𝑦)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 12 BitsToBytes (𝑦)""}"
alg::NIST.FIPS.204::13,Algorithm,NIST.FIPS.204,39,39,Algorithm 13,"{""algorithm_label"": ""Algorithm 13"", ""algorithm_name"": ""BytesToBits"", ""algorithm_number"": ""13"", ""raw_header"": ""Algorithm 13 BytesToBits (𝑧)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 13 BytesToBits (𝑧)""}"
alg::NIST.FIPS.204::14,Algorithm,NIST.FIPS.204,39,39,Algorithm 14,"{""algorithm_label"": ""Algorithm 14"", ""algorithm_name"": ""CoeffFromThreeBytes"", ""algorithm_number"": ""14"", ""raw_header"": ""Algorithm 14 CoeffFromThreeBytes (𝑏 0 , 𝑏 1 , 𝑏 2 ) Generates an element of {0, 1, 2, … , 𝑞 -1} ∪ {⊥} . Input : Bytes 𝑏 0 , 𝑏 1 , 𝑏 2 . Output : An integer modulo 𝑞 or ⊥ . 1: 𝑏 ′ 2 ← 𝑏 2 2: ′ if 𝑏 2 > 127 then 3: 𝑏 ′ 2 ← 𝑏 ′ 2 128 ▷ set the top bit of 𝑏 ′ 2 to zero 4: end if 5: 𝑧 ← 2 16 ⋅ 𝑏 ′ 2 + 2 8 ⋅ 𝑏 1 + 𝑏 0 ▷ 0 ≤ 𝑧 ≤ 2 23-1 6: if 𝑧 < 𝑞 then return 𝑧 ▷ rejection sampling 7: else return ⊥ 8: end if"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 14 CoeffFromThreeBytes (𝑏 0 , 𝑏 1 , 𝑏 2 ) Generates an element of {0, 1, 2, … , 𝑞 -1} ∪ {⊥} . Input : Bytes 𝑏 0 , 𝑏 1 , 𝑏 2 . Output : An integer modulo 𝑞 or ⊥ . 1: 𝑏 ′ 2 ← 𝑏 2 2: ′ if 𝑏 2 > 127 then 3: 𝑏 ′ 2 ← 𝑏 ′ 2 128 ▷ set the top bit of 𝑏 ′ 2 to zero 4: end if 5: 𝑧 ← 2 16 ⋅ 𝑏 ′ 2 + 2 8 ⋅ 𝑏 1 + 𝑏 0 ▷ 0 ≤ 𝑧 ≤ 2 23 -1 6: if 𝑧 < 𝑞 then return 𝑧 ▷ rejection sampling 7: else return ⊥ 8: end if""}"
alg::NIST.FIPS.204::15,Algorithm,NIST.FIPS.204,40,40,Algorithm 15,"{""algorithm_label"": ""Algorithm 15"", ""algorithm_name"": ""CoeffFromHalfByte"", ""algorithm_number"": ""15"", ""raw_header"": ""Algorithm 15 CoeffFromHalfByte (𝑏)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 15 CoeffFromHalfByte (𝑏)""}"
alg::NIST.FIPS.204::16,Algorithm,NIST.FIPS.204,40,40,Algorithm 16,"{""algorithm_label"": ""Algorithm 16"", ""algorithm_name"": ""SimpleBitPack"", ""algorithm_number"": ""16"", ""raw_header"": ""Algorithm 16 SimpleBitPack (𝑤,"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 16 SimpleBitPack (𝑤,""}"
alg::NIST.FIPS.204::17,Algorithm,NIST.FIPS.204,40,40,Algorithm 17,"{""algorithm_label"": ""Algorithm 17"", ""algorithm_name"": ""BitPack"", ""algorithm_number"": ""17"", ""raw_header"": ""Algorithm 17 BitPack (𝑤, 𝑎,"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 17 BitPack (𝑤, 𝑎,""}"
alg::NIST.FIPS.204::18,Algorithm,NIST.FIPS.204,41,41,Algorithm 18,"{""algorithm_label"": ""Algorithm 18"", ""algorithm_name"": ""SimpleBitUnpack"", ""algorithm_number"": ""18"", ""raw_header"": ""Algorithm 18 SimpleBitUnpack (𝑣, 𝑏) Reverses the procedure SimpleBitPack . Input : 𝑏 ∈ ℕ and a byte string 𝑣 of length 32 ⋅ bitlen 𝑏 . Output : A polynomial 𝑤 ∈ 𝑅 with coefficients in [0, 2 𝑐 -1] , where 𝑐 = bitlen 𝑏 . When 𝑏 + 1 is a power of 2, the coefficients are in [0, 𝑏] . 1: 𝑐 ← bitlen 𝑏 2: 𝑧 ← BytesToBits (𝑣) 3: for 𝑖 from 0 to 255 do 4: 𝑤𝑖 ← BitsToInteger ((𝑧[𝑖𝑐], 𝑧[𝑖𝑐 + 1], … 𝑧[𝑖𝑐 + 𝑐 -1]), 𝑐) 5: end for 6: return 𝑤 Algorithm 19 BitUnpack (𝑣, 𝑎, 𝑏)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 17 BitPack (𝑤, 𝑎,""}"
alg::NIST.FIPS.204::2,Algorithm,NIST.FIPS.204,28,28,Algorithm 2,"{""algorithm_label"": ""Algorithm 2"", ""algorithm_name"": ""ML-DSA.Sign"", ""algorithm_number"": ""2"", ""raw_header"": ""Algorithm 2 ML-DSA.Sign (𝑠𝑘, 𝑀, 𝑐𝑡𝑥) Generates an ML-DSA signature. Input : Private key 𝑠𝑘 ∈ 𝔹 32+32+64+32⋅((ℓ+𝑘)⋅ bitlen (2𝜂)+𝑑𝑘) , message 𝑀 ∈ {0, 1} ∗ , context string 𝑐𝑡𝑥 (a byte string of 255 or fewer bytes). Output : Signature 𝜎 ∈ 𝔹 𝜆/4+ℓ⋅32⋅(1+ bitlen (𝛾 1-1))+𝜔+𝑘 . 1: if |𝑐𝑡𝑥| > 255 then 2: return ⊥ ▷ return an error indication if the context string is too long 3: end if 4: 5: 𝑟𝑛𝑑 ← 𝔹 32 ▷ for the optional deterministic variant, substitute 𝑟𝑛𝑑 ← {0} 32 6: if 𝑟𝑛𝑑 = NULL then 7: return ⊥ ▷ return an error indication if random bit generation failed 8: end if 9: 10: 𝑀 ′ ← BytesToBits ( IntegerToBytes (0, 1) ∥ IntegerToBytes (|𝑐𝑡𝑥|, 1) ∥ 𝑐𝑡𝑥) ∥ 𝑀 11: 𝜎 ← ML-DSA.Sign_internal (𝑠𝑘, 𝑀 ′ , 𝑟𝑛𝑑) 12: return 𝜎"", ""section_id"": ""section::NIST.FIPS.204::5. External Functions > 5.2 ML-DSA Signing""}"
alg::NIST.FIPS.204::20,Algorithm,NIST.FIPS.204,42,42,Algorithm 20,"{""algorithm_label"": ""Algorithm 20"", ""algorithm_name"": ""HintBitPack"", ""algorithm_number"": ""20"", ""raw_header"": ""Algorithm 20 HintBitPack (𝐡)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 20 HintBitPack (𝐡)""}"
alg::NIST.FIPS.204::21,Algorithm,NIST.FIPS.204,42,42,Algorithm 21,"{""algorithm_label"": ""Algorithm 21"", ""algorithm_name"": ""HintBitUnpack"", ""algorithm_number"": ""21"", ""raw_header"": ""Algorithm 21 HintBitUnpack (𝑦)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.1 Conversion Between Data Types > Algorithm 21 HintBitUnpack (𝑦)""}"
alg::NIST.FIPS.204::22,Algorithm,NIST.FIPS.204,43,43,Algorithm 22,"{""algorithm_label"": ""Algorithm 22"", ""algorithm_name"": ""pkEncode"", ""algorithm_number"": ""22"", ""raw_header"": ""Algorithm 22 pkEncode (𝜌, 𝐭"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.2 Encodings of ML-DSA Keys and Signatures > Algorithm 22 pkEncode (𝜌, 𝐭""}"
alg::NIST.FIPS.204::23,Algorithm,NIST.FIPS.204,43,43,Algorithm 23,"{""algorithm_label"": ""Algorithm 23"", ""algorithm_name"": ""pkDecode"", ""algorithm_number"": ""23"", ""raw_header"": ""Algorithm 23 pkDecode"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.2 Encodings of ML-DSA Keys and Signatures > Algorithm 23 pkDecode""}"
alg::NIST.FIPS.204::24,Algorithm,NIST.FIPS.204,44,44,Algorithm 24,"{""algorithm_label"": ""Algorithm 24"", ""algorithm_name"": ""skEncode"", ""algorithm_number"": ""24"", ""raw_header"": ""Algorithm 24 skEncode (𝜌, 𝐾, 𝑡𝑟, 𝐬 1 , 𝐬 2 , 𝐭 0 ) Encodes a secret key for ML-DSA into a byte string. Input : 𝜌 ∈ 𝔹 32 , 𝐾 ∈ 𝔹 32 , 𝑡𝑟 ∈ 𝔹 64 , 𝐬 1 ∈ 𝑅 ℓ with coefficients in [ -𝜂, 𝜂] , 𝐬 2 ∈ 𝑅 𝑘 with coefficients in [-𝜂, 𝜂] , 𝐭 0 ∈ 𝑅 𝑘 with coefficients in [-2 𝑑-1 + 1, 2 𝑑-1 ] . Output : Private key 𝑠𝑘 ∈ 𝔹 32+32+64+32⋅((𝑘+ℓ)⋅ bitlen (2𝜂)+𝑑𝑘) . 1: 𝑠𝑘 ← 𝜌||𝐾||𝑡𝑟 2: for 𝑖 from 0 to ℓ - 1 do 3: 𝑠𝑘 ← 𝑠𝑘 || BitPack (𝐬 1 [𝑖], 𝜂, 𝜂) 4: end for 5: for 𝑖 from 0 to 𝑘 -1 do 6: 𝑠𝑘 ← 𝑠𝑘 || BitPack (𝐬 2 [𝑖], 𝜂, 𝜂) 7: end for 8: for 𝑖 from 0 to 𝑘 -1 do 9: 𝑠𝑘 ← 𝑠𝑘 || BitPack (𝐭 0 [𝑖], 2 𝑑-1-1, 2 𝑑-1 ) 10: end for 11: return 𝑠𝑘 Algorithm 25 skDecode (𝑠𝑘) Reverses the procedure skEncode . Input : Private key 𝑠𝑘 ∈ 𝔹 32+32+64+32⋅((ℓ+𝑘)⋅ bitlen (2𝜂)+𝑑𝑘) . Output : 𝜌 ∈ 𝔹 32 , 𝐾 ∈ 𝔹 32 , 𝑡𝑟 ∈ 𝔹 64 , 𝐬 1 ∈ 𝑅 ℓ , 𝐬 2 ∈ 𝑅 𝑘 , 𝐭 0 ∈ 𝑅 𝑘 with coefficients in [-2 𝑑-1 + 1, 2 𝑑-1 ] . 1: (𝜌, 𝐾, 𝑡𝑟, 𝑦 0 , … , 𝑦 ℓ-1 , 𝑧 0 , … , 𝑧 𝑘-1 , 𝑤 0 , … , 𝑤 𝑘-1 ) ∈ 𝔹 32 ×𝔹 32 ×𝔹 64 ×(𝔹 32⋅ bitlen (2𝜂) ) ℓ × (𝔹 32⋅ bitlen (2𝜂) ) 𝑘 × (𝔹 32𝑑 ) 𝑘 ← 𝑠𝑘 2: for 𝑖 from 0 to ℓ - 1 do 3: 𝐬 1 [𝑖] ← BitUnpack (𝑦 𝑖 , 𝜂, 𝜂) ▷ this may lie outside [-𝜂, 𝜂]"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.2 Encodings of ML-DSA Keys and Signatures > Algorithm 23 pkDecode""}"
alg::NIST.FIPS.204::26,Algorithm,NIST.FIPS.204,45,45,Algorithm 26,"{""algorithm_label"": ""Algorithm 26"", ""algorithm_name"": ""sigEncode"", ""algorithm_number"": ""26"", ""raw_header"": ""Algorithm 26 sigEncode ( 𝑐, 𝐳, 𝐡) Encodes a signature into a byte string. Input : 2 . 𝑐 ∈ 𝔹 𝜆/4 , 𝐳 ∈ 𝑅 ℓ with coefficients in [-𝛾 1 + 1, 𝛾 1 ], 𝐡 ∈ 𝑅 𝑘 Output : Signature 𝜎 ∈ 𝔹 𝜆/4+ℓ⋅32⋅(1+ bitlen (𝛾 1-1))+𝜔+𝑘 . 1: 𝜎 ← 𝑐 ̃ 2: for 𝑖 from 0 to ℓ - 1 do 3: 𝜎 ← 𝜎 || BitPack (𝐳[𝑖], 𝛾 1-1, 𝛾 1 ) 4: end for 5: 𝜎 ← 𝜎 || HintBitPack (𝐡) 6: return 𝜎 Algorithm 27 sigDecode (𝜎) Reverses the procedure sigEncode . Input : Signature 𝜎 ∈ 𝔹 𝜆/4+ℓ⋅32⋅(1+ bitlen (𝛾 1-1))+𝜔+𝑘 . Output : 2 , or ⊥ . 𝑐 ∈ 𝔹 𝜆/4 , 𝐳 ∈ 𝑅 ℓ with coefficients in [-𝛾 1 + 1, 𝛾 1 ], 𝐡 ∈ 𝑅 𝑘 1: (𝑐, ̃ 𝑥 0 , … , 𝑥 ℓ-1 , 𝑦) ∈ 𝔹 𝜆/4 × (𝔹 32⋅(1+ bitlen (𝛾 1-1)) ) ℓ × 𝔹 𝜔+𝑘 ← 𝜎 2: for 𝑖 from 0 to ℓ - 1 do 3: 𝐳[𝑖] ← BitUnpack (𝑥 𝑖 , 𝛾 1-1, 𝛾 1 ) ▷ this is in the correct range, as 𝛾 1 is a power of 2 4: end for 5: 𝐡 ← HintBitUnpack (𝑦) 6: return (𝑐, 𝐳, 𝐡) w1Encode is a specific subroutine used in ML-DSA.Sign . The procedure w1Encode encodes a polynomial vector 𝐰1 into a string of bytes so that it can be processed by the function H. Algorithm 28 w1Encode (𝐰1 )"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.2 Encodings of ML-DSA Keys and Signatures > Algorithm 23 pkDecode""}"
alg::NIST.FIPS.204::29,Algorithm,NIST.FIPS.204,46,46,Algorithm 29,"{""algorithm_label"": ""Algorithm 29"", ""algorithm_name"": ""SampleInBall"", ""algorithm_number"": ""29"", ""raw_header"": ""Algorithm 29 SampleInBall (𝜌)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.3 Pseudorandom Sampling > Algorithm 29 SampleInBall (𝜌)""}"
alg::NIST.FIPS.204::3,Algorithm,NIST.FIPS.204,22,22,Algorithm 3,"{""algorithm_label"": ""Algorithm 3"", ""algorithm_name"": null, ""algorithm_number"": ""3"", ""raw_header"": ""Algorithm 3, implementing verification for ML-DSA, and Algorithm 5, implementing verification for HashMLDSA, specify the length of the signature 𝜎 and the public key 𝑝𝑘 in terms of the parameters described in Table 1. If an implementation of ML-DSA can accept inputs for 𝜎 or 𝑝𝑘 of any other length, it shall return false whenever the lengths of either of these inputs differ from their lengths specified in this standard. Failing to check the length of 𝑝𝑘 or 𝜎 may interfere with the security properties that ML-DSA is designed to have, like strong unforgeability."", ""section_id"": ""section::NIST.FIPS.204::3. Overview of the ML-DSA Signature Scheme > 3.6 Additional Requirements > 3.6.2 Public-Key and Signature Length Checks""}"
alg::NIST.FIPS.204::30,Algorithm,NIST.FIPS.204,47,47,Algorithm 30,"{""algorithm_label"": ""Algorithm 30"", ""algorithm_name"": ""RejNTTPoly"", ""algorithm_number"": ""30"", ""raw_header"": ""Algorithm 30 RejNTTPoly (𝜌)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.3 Pseudorandom Sampling > Algorithm 30 RejNTTPoly (𝜌)""}"
alg::NIST.FIPS.204::31,Algorithm,NIST.FIPS.204,47,47,Algorithm 31,"{""algorithm_label"": ""Algorithm 31"", ""algorithm_name"": ""RejBoundedPoly"", ""algorithm_number"": ""31"", ""raw_header"": ""Algorithm 31 RejBoundedPoly (𝜌)"", ""section_id"": ""section::NIST.FIPS.204::7. Auxiliary Functions > 7.3 Pseudorandom Sampling > Algorithm 31 RejBoundedPoly (𝜌)""}"
